Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season
188,Jonathan Dahlén,24,SJS,C,61,12,10,22,-25,12,1.3,9,3,0,2,6,4,0,105,11.4,841,13:48,34,16,0,1,0.0,dahlejo01,21-22
189,Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,68,7.1,10,3,0,3,21,18,1,170,7.6,1921,24:01,91,121,0,0,,dahlira01,21-22
190,Carl Dahlström,27,TOR,D,3,0,2,2,2,2,0.4,0,0,0,0,2,0,0,4,0.0,41,13:39,2,1,0,0,,dahlsca01,21-22
191,Michael Dal Colle,25,NYI,LW,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,15,14:34,0,0,0,0,,dalcomi01,21-22
192,Zac Dalpe,32,FLA,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,6:08,1,2,1,3,25.0,dalpeza01,21-22
193,Riley Damiani,21,DAL,C,7,1,1,2,0,2,0.2,1,0,0,0,1,0,0,10,10.0,60,8:32,0,4,7,7,50.0,damiari01,21-22
194,Phillip Danault,28,LAK,C,79,27,24,51,14,38,6.1,25,2,0,5,19,2,3,194,13.9,1432,18:08,49,74,676,586,53.6,danauph01,21-22
195,Justin Danforth,28,CBJ,RW,45,10,4,14,-5,10,1.1,10,0,0,1,3,1,0,72,13.9,566,12:34,22,85,107,92,53.8,danfoju01,21-22
196,Laurent Dauphin,26,MTL,C,38,4,8,12,-10,25,0.4,4,0,0,0,8,0,0,50,8.0,505,13:18,27,31,104,143,42.1,dauphla01,21-22
197,Jeremy Davies,25,NSH,D,6,0,2,2,-5,2,-0.1,0,0,0,0,2,0,0,5,0.0,74,12:15,1,5,0,0,,davieje01,21-22
198,Sean Day,24,TBL,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,21,10:43,2,4,0,0,,dayse01,21-22
199,Calvin de Haan,30,CHI,D,69,4,4,8,-21,33,1.4,4,0,0,0,4,0,0,107,3.7,1308,18:57,172,146,0,0,,dehaaca01,21-22
200,Chase De Leo,26,NJD,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,16,8:09,0,5,0,2,0.0,deleoch01,21-22
201,Tony DeAngelo,26,CAR,D,64,10,41,51,30,56,9.3,8,2,0,2,23,18,0,151,6.6,1268,19:49,59,41,0,0,,deangan01,21-22
202,Alex DeBrincat,24,CHI,RW,82,41,37,78,-13,19,8.4,27,14,0,6,23,14,0,270,15.2,1710,20:51,35,101,24,40,37.5,debrial01,21-22
203,Jake DeBrusk,25,BOS,LW,77,25,17,42,6,10,4.9,22,3,0,8,16,1,0,184,13.6,1158,15:02,25,62,10,12,45.5,debruja01,21-22
204,Danny DeKeyser,31,DET,D,59,0,11,11,-8,26,1.5,0,0,0,0,11,0,0,57,0.0,1092,18:30,102,49,0,0,,dekeyda01,21-22
205,Michael Del Zotto,31,OTT,D,26,3,10,13,-4,4,1.9,2,1,0,0,9,1,0,35,8.6,475,18:15,34,42,0,0,,delzomi01,21-22
206,Ty Dellandrea,21,DAL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,11,10:37,0,3,1,2,33.3,dellaty01,21-22
207,Dylan DeMelo,28,WPG,D,76,1,12,13,10,28,3.1,0,0,1,0,11,0,1,78,1.3,1406,18:30,108,113,0,0,,demeldy01,21-22
208,Grigori Denisenko,21,FLA,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,16,15:30,2,1,0,0,,denisgr01,21-22
209,Travis Dermott,25,TOT,D,60,2,5,7,9,14,2.1,2,0,0,1,5,0,0,46,4.3,920,15:20,46,55,0,0,,dermotr01,21-22
210,Nicolas Deslauriers,30,TOT,LW,81,8,5,13,-11,113,0.2,7,0,1,1,5,0,0,90,8.9,921,11:22,49,263,1,3,25.0,deslani01,21-22
211,Connor Dewar,22,MIN,C,35,2,4,6,-4,25,-0.1,2,0,0,1,3,1,0,44,4.5,346,9:54,22,48,62,71,46.6,dewarco01,21-22
212,Jason Dickinson,26,VAN,C,62,5,6,11,-1,19,0.2,5,0,0,0,6,0,0,66,7.6,809,13:03,43,101,123,166,42.6,dickija01,21-22
213,Brenden Dillon,31,WPG,D,79,3,17,20,16,67,4.5,3,0,0,0,17,0,0,85,3.5,1488,18:50,108,212,0,0,,dillobr01,21-22
214,Cam Dineen,23,ARI,D,34,0,7,7,-16,4,0.1,0,0,0,0,7,0,0,52,0.0,532,15:38,44,22,0,0,,dineeca01,21-22
215,Noah Dobson,22,NYI,D,80,13,38,51,-3,18,8.3,10,3,0,4,19,19,0,190,6.8,1717,21:28,154,78,0,0,,dobsono01,21-22
216,Max Domi,26,TOT,LW,72,11,28,39,10,55,3.6,11,0,0,1,24,4,0,104,10.6,939,13:02,9,24,39,47,45.3,domima01,21-22
217,Ryan Donato,25,SEA,C,74,16,15,31,-13,40,2.6,15,1,0,2,15,0,0,159,10.1,1021,13:48,17,70,15,23,39.5,donatry01,21-22
218,Joonas Donskoi,29,SEA,RW,75,2,20,22,-10,14,0.4,2,0,0,0,16,3,1,89,2.2,1113,14:50,31,36,5,9,35.7,donskjo01,21-22
219,Pavel Dorofeyev,21,VEG,LW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,13,6:30,1,0,0,0,,dorofpa01,21-22
220,Drew Doughty,32,LAK,D,39,7,24,31,4,30,5.1,3,4,0,1,15,9,0,99,7.1,1004,25:44,53,60,0,0,,doughdr01,21-22
221,Nic Dowd,31,WSH,C,64,10,14,24,10,44,2.2,9,0,1,0,13,1,0,90,11.1,913,14:16,53,139,506,437,53.7,dowdni01,21-22
222,Justin Dowling,31,VAN,C,22,2,2,4,-3,2,0.1,2,0,0,0,2,0,0,17,11.8,211,9:35,9,10,21,19,52.5,dowliju01,21-22
223,Leon Draisaitl,26,EDM,C,80,55,55,110,17,40,13.3,30,24,1,11,38,17,0,278,19.8,1788,22:21,25,53,887,774,53.4,draisle01,21-22
224,Hunter Drew,23,ANA,D,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,20,9:52,0,5,0,0,,drewhu01,21-22
225,Sheldon Dries,27,VAN,C,11,2,1,3,-3,0,0.2,1,1,0,1,1,0,0,17,11.8,113,10:18,6,9,7,14,33.3,driessh01,21-22
226,Jonathan Drouin,26,MTL,LW,34,6,14,20,-9,23,1.3,6,0,0,0,10,4,0,62,9.7,581,17:06,11,27,31,35,47.0,drouijo01,21-22
227,Jack Drury,21,CAR,C,2,2,0,2,3,2,0.4,2,0,0,0,0,0,0,6,33.3,32,15:58,2,4,12,3,80.0,druryja01,21-22
228,Jamie Drysdale,19,ANA,D,81,4,28,32,-26,16,3.6,4,0,0,1,16,12,0,137,2.9,1610,19:53,72,40,0,0,,drysdja01,21-22
229,Dillon Dubé,23,CGY,C,79,18,14,32,1,20,3.1,15,2,1,1,11,1,2,143,12.6,1014,12:50,15,87,92,102,47.4,dubedi01,21-22
230,Pierre-Luc Dubois,23,WPG,LW,81,28,32,60,-6,106,5.8,13,15,0,6,28,4,0,233,12.0,1533,18:55,43,112,532,603,46.9,duboipi01,21-22
231,Matt Duchene,31,NSH,C,78,43,43,86,6,38,10.0,27,16,0,6,30,13,0,228,18.9,1483,19:01,28,31,119,101,54.1,duchema01,21-22
232,Anthony Duclair,26,FLA,LW,74,31,27,58,19,30,6.9,22,9,0,5,15,12,0,167,18.6,1110,15:00,16,38,1,1,50.0,duclaan01,21-22
233,Walker Duehr,24,CGY,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,8:47,0,0,0,0,,duehrwa01,21-22
234,Brandon Duhaime,24,MIN,RW,80,6,11,17,-2,122,0.4,6,0,0,1,11,0,0,91,6.6,817,10:13,18,201,8,20,28.6,duhaibr01,21-22
235,Mathew Dumba,27,MIN,D,57,7,20,27,9,47,3.9,6,1,0,1,16,4,0,116,6.0,1317,23:06,84,114,0,0,,dumbama01,21-22
236,Brian Dumoulin,30,PIT,D,76,3,15,18,24,24,5.2,3,0,0,0,15,0,0,91,3.3,1658,21:49,139,88,0,0,,dumoubr01,21-22
237,Vince Dunn,25,SEA,D,73,7,28,35,-21,63,4.1,5,2,0,0,19,9,0,121,5.8,1509,20:41,82,76,0,0,,dunnvi02,21-22
238,Sean Durzi,23,LAK,D,64,3,24,27,-9,55,3.6,1,2,0,0,10,13,1,119,2.5,1254,19:36,121,74,0,0,,durzise01,21-22
239,Christian Dvorak,25,MTL,C,56,11,22,33,-19,24,2.0,10,1,0,1,18,4,0,87,12.6,973,17:22,52,32,548,419,56.7,dvorach01,21-22
240,Ryan Dzingel,29,TOT,C,32,5,3,8,-5,35,0.4,5,0,0,1,3,0,0,32,15.6,439,13:43,9,20,65,88,42.5,dzingry01,21-22
241,Cody Eakin,30,BUF,C,69,4,8,12,-15,22,-0.4,3,1,0,1,6,1,1,74,5.4,938,13:35,29,33,482,378,56.0,eakinco01,21-22
242,Jordan Eberle,31,SEA,RW,79,21,23,44,-28,14,3.2,17,4,0,2,18,5,0,164,12.8,1418,17:57,40,48,6,14,30.0,eberljo01,21-22
243,Alexander Edler,35,LAK,D,41,3,16,19,18,34,4.3,3,0,0,1,15,0,1,54,5.6,757,18:28,70,56,0,0,,edleral01,21-22
244,Joel Edmundson,28,MTL,D,24,3,3,6,-1,35,1.2,3,0,0,0,3,0,0,32,9.4,470,19:35,45,61,0,0,,edmunjo01,21-22
245,Nikolaj Ehlers,25,WPG,LW,62,28,27,55,18,20,6.8,24,4,0,2,22,5,0,245,11.4,1120,18:04,27,32,2,1,66.7,ehlerni01,21-22
246,Jack Eichel,25,VEG,C,34,14,11,25,3,10,2.8,11,3,0,2,6,5,0,133,10.5,659,19:24,35,45,184,195,48.5,eicheja01,21-22
247,Aaron Ekblad,25,FLA,D,61,15,42,57,38,26,9.5,12,3,0,2,22,17,3,180,8.3,1520,24:55,69,62,0,0,,ekblaaa01,21-22
248,Mattias Ekholm,31,NSH,D,76,6,25,31,14,44,6.0,6,0,0,1,20,4,1,145,4.1,1784,23:29,96,79,0,0,,ekholma01,21-22
249,William Eklund,19,SJS,LW,9,0,4,4,-3,2,0.1,0,0,0,0,1,3,0,8,0.0,129,14:20,4,4,3,5,37.5,eklunwi01,21-22
250,Oliver Ekman-Larsson,30,VAN,D,79,5,24,29,5,52,5.5,2,3,0,1,17,7,0,168,3.0,1763,22:19,79,105,0,0,,ekmanol01,21-22
251,Remi Elie,26,TBL,LW,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,11,10:57,0,3,0,0,,eliere01,21-22
252,Lars Eller,32,WSH,C,72,13,18,31,-4,40,2.2,13,0,0,2,16,2,0,116,11.2,1161,16:07,36,95,510,521,49.5,ellerla01,21-22
253,Ryan Ellis,31,PHI,D,4,1,4,5,2,0,0.8,1,0,0,0,2,2,0,6,16.7,91,22:48,6,1,0,0,,ellisry01,21-22
254,Turner Elson,29,DET,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,27,13:23,1,3,0,0,,elsontu01,21-22
255,Pierre Engvall,25,TOR,LW,78,15,20,35,13,30,3.3,12,1,2,3,17,2,1,154,9.7,1036,13:17,12,66,29,40,42.0,engvapi01,21-22
256,Tyler Ennis,32,OTT,C,57,8,16,24,-6,16,1.9,7,1,0,1,13,3,0,89,9.0,715,12:33,24,70,20,9,69.0,ennisty01,21-22
257,Mackenzie Entwistle,22,CHI,RW,55,5,7,12,-16,23,0.2,4,0,1,0,7,0,0,34,14.7,563,10:15,22,129,18,27,40.0,entwima01,21-22
258,Loui Eriksson,36,ARI,LW,73,3,16,19,-18,6,-0.1,2,0,1,0,15,1,0,81,3.7,943,12:55,23,17,20,16,55.6,erikslo01,21-22
259,Joel Eriksson Ek,25,MIN,C,77,26,23,49,16,28,4.8,14,12,0,3,18,5,0,223,11.7,1431,18:35,44,138,697,768,47.6,eriksjo02,21-22
260,Adam Erne,26,DET,LW,79,6,13,19,-22,34,-0.1,6,0,0,1,13,0,0,108,5.6,1057,13:23,43,161,34,31,52.3,ernead01,21-22
261,Jake Evans,25,MTL,C,72,13,16,29,-5,22,2.1,13,0,0,0,15,0,1,124,10.5,1123,15:36,37,88,461,465,49.8,evansja02,21-22
262,Michael Eyssimont,25,WPG,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,6,5:49,0,0,0,0,,eyssimi01,21-22
263,Robby Fabbri,26,DET,C,56,17,13,30,-23,35,2.2,11,6,0,1,11,2,0,123,13.8,970,17:20,19,86,54,55,49.5,fabbrro01,21-22
264,Dante Fabbro,23,NSH,D,66,3,21,24,13,24,4.5,3,0,0,0,21,0,0,88,3.4,1257,19:03,105,69,0,0,,fabbrda01,21-22
265,Samuel Fagemo,21,LAK,LW,4,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,5,0.0,55,13:43,3,2,0,0,,fagemsa01,21-22
266,Radek Faksa,28,DAL,C,77,5,14,19,-20,52,-0.2,3,1,1,1,13,0,1,89,5.6,1214,15:46,68,129,383,312,55.1,faksara01,21-22
267,Joel Farabee,21,PHI,LW,63,17,17,34,-11,50,2.9,15,1,1,1,15,2,0,119,14.3,1108,17:35,38,73,41,102,28.7,farabjo01,21-22
268,Hudson Fasching,26,ARI,RW,11,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,3,0.0,109,9:53,6,16,1,0,100.0,faschhu01,21-22
269,Jesper Fast,30,CAR,RW,82,14,20,34,24,4,3.5,13,1,0,1,18,1,1,97,14.4,1214,14:49,36,109,12,17,41.4,fastje01,21-22
270,Justin Faulk,29,STL,D,76,16,31,47,41,43,9.8,15,1,0,6,25,6,0,167,9.6,1763,23:12,101,149,0,0,,faulkju01,21-22
271,Martin Fehérváry,22,WSH,D,79,8,9,17,15,26,4.7,7,0,1,2,8,0,1,96,8.3,1553,19:39,117,251,0,0,,feherma01,21-22
272,Mario Ferraro,23,SJS,D,63,2,12,14,-5,16,3.5,2,0,0,1,12,0,0,49,4.1,1449,23:00,151,140,0,0,,ferrama01,21-22
273,Kevin Fiala,25,MIN,LW,82,33,52,85,23,52,9.2,27,5,1,7,40,12,0,262,12.6,1447,17:39,21,52,4,11,26.7,fialake01,21-22
274,Christian Fischer,24,ARI,RW,53,5,5,10,-15,14,-0.2,4,1,0,0,5,0,0,76,6.6,695,13:07,22,91,76,147,34.1,fischch01,21-22
275,Casey Fitzgerald,24,BUF,D,36,0,6,6,-19,36,-0.1,0,0,0,0,6,0,0,41,0.0,608,16:53,35,86,0,0,,fitzgca01,21-22
276,Trey Fix-Wolansky,22,CBJ,RW,6,1,1,2,-1,0,0.2,1,0,0,0,1,0,0,5,20.0,38,6:17,4,7,0,0,,fixwotr01,21-22
277,Cale Fleury,23,SEA,D,9,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,4,0.0,131,14:34,14,19,0,0,,fleurca01,21-22
278,Haydn Fleury,25,SEA,D,36,2,2,4,0,13,1.2,2,0,0,1,2,0,0,52,3.8,586,16:17,62,60,0,0,,fleurha01,21-22
279,Warren Foegele,25,EDM,LW,82,12,14,26,-9,24,1.5,10,2,0,3,13,1,0,142,8.5,1034,12:37,15,127,13,15,46.4,foegewa01,21-22
280,Steven Fogarty,28,BOS,C,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0.0,21,10:18,0,0,7,10,41.2,fogarst01,21-22
281,Marcus Foligno,30,MIN,LW,74,23,19,42,25,112,4.6,18,5,0,3,17,2,0,98,23.5,1214,16:24,42,238,12,8,60.0,foligma01,21-22
