Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
808,Calvin Thurkauf,22,CBJ,C,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,25,8:15,0,5,2,0,100.0,thurkca01
809,Chris Tierney,25,OTT,C,71,11,26,37,-6,20,2.6,6,1,4,2,24,1,1,102,10.8,1220,17:11,37,44,521,497,51.2,tiernch01
810,Dmytro Timashov,23,TOT,LW,44,4,5,9,1,16,0.7,4,0,0,1,5,0,0,37,10.8,375,8:32,11,93,0,0,,timasdm01
810,Dmytro Timashov,23,TOR,LW,39,4,5,9,1,16,0.8,4,0,0,1,5,0,0,34,11.8,316,8:06,10,83,0,0,,timasdm01
810,Dmytro Timashov,23,DET,LW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,60,11:54,1,10,0,0,,timasdm01
811,Conor Timmins,21,COL,D,2,0,0,0,2,0,0.2,0,0,0,0,0,0,0,1,0.0,21,10:25,0,0,0,0,,timmico01
812,Jarred Tinordi,27,NSH,D,28,1,4,5,-1,34,0.8,1,0,0,0,3,0,1,20,5.0,465,16:37,36,71,0,0,,tinorja01
813,Brady Tkachuk,20,OTT,LW,71,21,23,44,-14,106,3.9,19,2,0,3,17,6,0,259,8.1,1344,18:56,43,303,144,168,46.2,tkachbr01
814,Matthew Tkachuk,22,CGY,LW,69,23,38,61,-5,74,6.5,18,5,0,4,24,14,0,188,12.2,1263,18:18,22,122,0,4,0.0,tkachma01
815,Devon Toews,25,NYI,D,68,6,22,28,1,16,5.0,5,1,0,1,17,5,0,122,4.9,1395,20:31,75,55,0,0,,toewsde01
816,Jonathan Toews,31,CHI,C,70,18,42,60,-2,48,5.4,16,1,1,3,35,7,0,172,10.5,1384,19:47,35,56,856,638,57.3,toewsjo01
817,Tyler Toffoli,27,TOT,C,68,24,20,44,-1,20,5.1,19,5,0,4,15,5,0,203,11.8,1146,16:51,16,48,4,10,28.6,toffoty01
817,Tyler Toffoli,27,LAK,C,58,18,16,34,-4,16,3.7,14,4,0,3,13,3,0,165,10.9,963,16:37,14,33,4,9,30.8,toffoty01
817,Tyler Toffoli,27,VAN,C,10,6,4,10,3,4,1.4,5,1,0,1,2,2,0,38,15.8,182,18:15,2,15,0,1,0.0,toffoty01
818,Dominic Toninato,25,FLA,C,46,4,7,11,4,37,0.7,4,0,0,0,7,0,0,38,10.5,513,11:09,28,57,128,144,47.1,tonindo01
819,Yakov Trenin,23,NSH,C,21,2,4,6,1,9,0.5,2,0,0,0,4,0,0,25,8.0,204,9:44,9,46,3,1,75.0,treniya01
820,Vincent Trocheck,26,TOT,C,62,11,27,38,-8,49,2.7,9,1,1,2,21,6,0,141,7.8,1037,16:44,37,101,434,398,52.2,trochvi01
820,Vincent Trocheck,26,FLA,C,55,10,26,36,-3,33,2.8,9,0,1,1,21,5,0,129,7.8,927,16:52,33,83,370,337,52.3,trochvi01
820,Vincent Trocheck,26,CAR,C,7,1,1,2,-5,16,-0.1,0,1,0,1,0,1,0,12,8.3,110,15:39,4,18,64,61,51.2,trochvi01
821,Zach Trotman,29,PIT,D,8,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,11,0.0,118,14:43,10,21,0,0,,trotmza01
822,Jacob Trouba,25,NYR,D,70,7,20,27,-12,61,3.3,3,4,0,1,14,4,2,168,4.2,1580,22:34,128,173,0,0,,troubja01
823,Alexander True,22,SJS,F,12,0,4,4,1,2,0.3,0,0,0,0,4,0,0,12,0.0,120,10:00,2,23,32,37,46.4,trueal01
824,Alex Tuch,23,VEG,RW,42,8,9,17,-10,8,1.1,5,3,0,2,5,4,0,98,8.2,614,14:37,20,58,8,20,28.6,tuchal01
825,Kyle Turris,30,NSH,C,62,9,22,31,-9,22,2.0,7,2,0,4,14,8,0,88,10.2,956,15:25,25,18,246,272,47.5,turriky01
826,Carsen Twarynski,22,PHI,F,15,1,0,1,-2,4,-0.2,1,0,0,0,0,0,0,14,7.1,160,10:41,8,40,0,2,0.0,twaryca01
827,T.J. Tynan,27,COL,C,16,0,1,1,-1,2,-0.2,0,0,0,0,1,0,0,7,0.0,136,8:28,3,7,3,15,16.7,tynant.01
828,Urho Vaakanainen,21,BOS,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,2,0.0,84,16:51,3,8,0,0,,vaakaur01
829,James van Riemsdyk,30,PHI,LW,66,19,21,40,5,8,4.5,15,4,0,2,16,5,0,151,12.6,983,14:54,18,25,8,15,34.8,vanrija01
830,Trevor van Riemsdyk,28,CAR,D,49,1,7,8,-7,10,1.0,1,0,0,0,7,0,0,58,1.7,728,14:52,37,21,0,0,,vanritr01
831,Sami Vatanen,28,NJD,D,47,5,18,23,-12,22,3.2,4,1,0,0,8,9,1,95,5.3,1022,21:45,80,50,0,0,,vatansa01
832,Frank Vatrano,25,FLA,LW,69,16,18,34,-8,30,2.8,12,2,2,4,18,0,0,162,9.9,1036,15:01,43,102,12,28,30.0,vatrafr01
833,Lukas Vejdemo,24,MTL,C,7,1,0,1,0,0,0.1,1,0,0,0,0,0,0,7,14.3,56,8:01,3,8,1,4,20.0,vejdelu01
834,Carter Verhaeghe,24,TBL,C,52,9,4,13,-9,8,0.9,8,1,0,1,4,0,0,57,15.8,487,9:22,8,29,14,17,45.2,verhaca01
835,Max Veronneau,24,OTT,RW,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,3,0.0,34,8:25,2,2,0,0,,veronma01
836,Jimmy Vesey,26,BUF,LW,64,9,11,20,12,15,2.0,8,0,1,2,10,1,0,93,9.7,883,13:48,20,43,0,5,0.0,veseyji02
837,Gabriel Vilardi,20,LAK,C,10,3,4,7,0,4,0.8,2,1,0,0,3,1,0,19,15.8,129,12:51,4,1,49,43,53.3,vilarga01
838,Jake Virtanen,23,VAN,RW,69,18,18,36,-4,41,3.7,12,6,0,6,15,3,0,150,12.0,903,13:05,28,102,5,13,27.8,virtaja01
839,Marc-Édouard Vlasic,32,SJS,D,70,5,10,15,-10,10,3.4,4,0,1,1,10,0,0,74,6.8,1421,20:18,97,37,0,0,,vlasima01
840,Alexander Volkov,22,TBL,RW,9,0,1,1,-6,6,-0.3,0,0,0,0,1,0,0,7,0.0,92,10:16,2,10,1,3,25.0,volkoal01
841,Jakub Voráček,30,PHI,RW,69,12,44,56,14,31,5.4,8,4,0,3,31,13,0,132,9.1,1176,17:03,21,17,7,13,35.0,voracja01
842,Mikhail Vorobyev,23,PHI,C,20,1,2,3,-5,6,-0.1,1,0,0,0,2,0,0,15,6.7,209,10:26,3,4,78,62,55.7,vorobmi01
843,Jakub Vrána,23,WSH,LW,69,25,27,52,3,18,6.1,24,1,0,6,16,11,0,187,13.4,1027,14:53,16,29,6,5,54.5,vranaja01
844,Austin Wagner,22,LAK,LW,65,6,5,11,-5,39,0.4,6,0,0,0,5,0,0,124,4.8,763,11:45,19,145,3,6,33.3,wagneau01
845,Chris Wagner,28,BOS,C,67,6,4,10,-8,47,0.0,5,0,1,0,4,0,0,78,7.7,834,12:26,31,192,115,134,46.2,wagnech01
846,Oliver Wahlstrom,19,NYI,RW,9,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,9,0.0,93,10:17,4,10,0,3,0.0,wahlsol01
847,Nathan Walker,25,STL,C,5,1,1,2,-2,4,0.1,1,0,0,0,1,0,0,6,16.7,56,11:08,1,10,1,0,100.0,walkena01
848,Sean Walker,25,LAK,D,70,5,19,24,-12,26,3.8,5,0,0,0,14,5,0,127,3.9,1319,18:50,84,81,0,0,,walkese01
849,Lucas Wallmark,24,TOT,C,67,12,13,25,0,18,2.3,9,3,0,0,9,3,1,84,14.3,856,12:47,26,57,379,374,50.3,wallmlu01
849,Lucas Wallmark,24,CAR,C,60,11,12,23,0,18,2.1,8,3,0,0,8,3,1,79,13.9,769,12:49,21,48,343,342,50.1,wallmlu01
849,Lucas Wallmark,24,FLA,C,7,1,1,2,0,0,0.1,1,0,0,0,1,0,0,5,20.0,87,12:28,5,9,36,32,52.9,wallmlu01
850,Jake Walman,23,STL,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0.0,11,11:04,1,0,0,0,,walmaja01
851,Austin Watson,28,NSH,LW,53,6,8,14,-9,65,0.6,6,0,0,1,6,0,2,50,12.0,616,11:37,48,131,6,6,50.0,watsoau01
852,Jordan Weal,27,MTL,C,49,8,7,15,-8,14,1.0,6,2,0,2,4,3,0,86,9.3,667,13:37,21,32,96,97,49.7,wealjo01
